roll no | spi_1  |  spi_2  |  cpi  |
240633  |  6.04  |  7.58  |  6.86  | 
240703  |  6.76  |  7.58  |  7.19  | 
240782  |  7.37  |  7.58  |  7.48  | 
241055  |  6.20  |  7.58  |  6.93  | 
240059  |  7.38  |  7.57  |  7.47  | 
240111  |  9.00  |  7.57  |  8.33  | 
240165  |  9.00  |  7.57  |  7.84  | 
240387  |  7.69  |  7.57  |  7.63  | 
240475  |  6.67  |  7.56  |  7.14  | 
240654  |  7.00  |  7.56  |  7.30  | 
240199  |  5.77  |  7.54  |  6.60  | 
240566  |  6.71  |  7.54  |  7.10  | 
240381  |  7.17  |  7.54  |  7.37  | 
240908  |  6.87  |  7.54  |  7.22  | 
241060  |  6.41  |  7.54  |  7.01  | 
241075  |  8.21  |  7.54  |  7.87  | 
240036  |  7.04  |  7.52  |  7.27  | 
240216  |  7.96  |  7.52  |  7.76  | 
240312  |  7.71  |  7.52  |  7.62  | 
240679  |  7.50  |  7.52  |  7.51  | 
240804  |  5.85  |  7.52  |  6.73  | 
240839  |  7.22  |  7.52  |  7.38  | 
240409  |  8.33  |  7.50  |  7.94  | 
240429  |  6.15  |  7.50  |  6.79  | 
240493  |  6.92  |  7.50  |  7.19  | 
240034  |  7.06  |  7.50  |  7.27  | 
240191  |  6.85  |  7.50  |  7.15  | 
240852  |  6.28  |  7.50  |  6.93  | 
240875  |  7.78  |  7.50  |  7.63  | 
240997  |  7.13  |  7.50  |  7.33  | 
241047  |  8.19  |  7.50  |  7.84  | 
241051  |  6.50  |  7.50  |  7.03  | 
240144  |  6.77  |  7.48  |  7.10  | 
240186  |  7.00  |  7.48  |  7.22  | 
240358  |  7.00  |  7.48  |  7.39  | 
